iter	Passed	Remaining
626	1910	59030
627	1913	59011
628	1915	59000
629	1918	58980
630	1921	58969
631	1923	58948
632	1926	58939
633	1929	58934
634	1932	58920
635	1935	58925
636	1937	58904
637	1940	58885
638	1943	58883
639	1946	58872
640	1948	58861
641	1951	58852
642	1954	58832
643	1957	58830
644	1960	58820
645	1962	58804
646	1965	58787
647	1968	58779
648	1971	58780
649	1974	58771
650	1976	58756
651	1979	58744
652	1982	58727
653	1984	58713
654	1988	58718
655	1990	58703
656	1993	58690
657	1996	58677
658	1999	58694
659	2002	58685
660	2005	58677
661	2008	58665
662	2010	58651
663	2013	58639
664	2016	58622
665	2018	58604
666	2021	58593
667	2023	58574
668	2026	58556
669	2029	58565
670	2032	58551
671	2035	58531
672	2037	58512
673	2040	58514
674	2043	58504
675	2046	58490
676	2048	58468
677	2051	58453
678	2053	58446
679	2056	58433
680	2059	58429
681	2062	58420
682	2065	58412
683	2068	58413
684	2071	58411
685	2074	58418
686	2077	58412
687	2080	58410
688	2083	58398
689	2086	58382
690	2089	58382
691	2092	58374
692	2094	58363
693	2097	58342
694	2100	58333
695	2103	58329
696	2105	58316
697	2109	58330
698	2112	58323
699	2115	58316
700	2117	58308
701	2120	58303
702	2123	58295
703	2127	58306
704	2130	58309
705	2133	58313
706	2136	58306
707	2139	58296
708	2141	58279
709	2145	58278
710	2147	58272
711	2150	58255
712	2153	58247
713	2155	58228
714	2158	58212
715	2161	58223
716	2164	58207
717	2166	58194
718	2170	58193
719	2173	58190
720	2176	58187
721	2178	58180
722	2181	58171
723	2184	58174
724	2187	58166
725	2190	58156
726	2193	58141
727	2195	58126
728	2198	58125
729	2201	58110
730	2204	58099
731	2206	58083
732	2209	58073
733	2212	58076
734	2215	58058
735	2218	58057
736	2220	58049
737	2223	58029
738	2226	58022
739	2229	58018
740	2232	58018
741	2235	58008
742	2238	58005
743	2240	57991
744	2243	57978
745	2246	57987
746	2249	57978
747	2252	57969
748	2254	57950
749	2257	57941
750	2260	57934
751	2262	57922
752	2265	57919
753	2268	57905
754	2271	57896
755	2274	57892
756	2277	57881
757	2279	57861
758	2282	57852
759	2284	57842
760	2287	57822
761	2289	57803
762	2292	57800
763	2295	57793
764	2298	57785
765	2300	57771
766	2304	57777
767	2307	57774
768	2309	57760
769	2312	57746
770	2314	57731
771	2317	57725
772	2320	57715
773	2322	57700
774	2325	57686
775	2328	57675
776	2331	57670
777	2334	57669
778	2336	57650
779	2338	57633
780	2341	57618
781	2344	57609
782	2347	57609
783	2349	57595
784	2352	57582
785	2354	57564
786	2357	57553
787	2360	57552
788	2363	57542
789	2365	57527
790	2368	57519
791	2371	57510
792	2373	57498
793	2377	57499
794	2379	57485
795	2382	57470
796	2384	57461
797	2387	57451
798	2390	57450
799	2393	57441
800	2395	57429
801	2398	57411
802	2400	57399
803	2403	57392
804	2406	57377
805	2408	57366
806	2411	57354
807	2414	57344
808	2416	57334
809	2420	57345
810	2423	57341
811	2426	57343
812	2429	57341
813	2432	57325
814	2434	57318
815	2437	57316
816	2440	57313
817	2443	57305
818	2446	57299
819	2449	57290
820	2452	57288
821	2455	57286
822	2458	57276
823	2460	57262
824	2463	57263
825	2466	57248
826	2468	57236
827	2471	57232
828	2474	57222
829	2477	57220
830	2480	57214
831	2482	57202
832	2485	57191
833	2488	57184
834	2491	57174
835	2494	57172
836	2496	57156
837	2499	57147
838	2501	57137
839	2504	57130
840	2507	57130
841	2510	57121
842	2513	57109
843	2515	57098
844	2518	57087
845	2520	57072
846	2523	57064
847	2525	57043
848	2528	57029
849	2530	57019
850	2534	57024
851	2536	57012
852	2539	57001
853	2542	56989
854	2544	56980
855	2547	56977
856	2550	56975
857	2553	56964
858	2555	56953
859	2558	56936
860	2561	56935
861	2564	56933
862	2566	56922
863	2569	56912
864	2572	56901
865	2574	56890
866	2577	56884
867	2580	56881
868	2583	56870
869	2586	56865
870	2588	56859
871	2592	56874
872	2595	56872
873	2598	56863
874	2601	56866
875	2604	56858
876	2607	56867
877	2610	56858
878	2613	56849
879	2616	56853
880	2619	56844
881	2622	56841
882	2625	56832
883	2628	56834
884	2631	56829
885	2634	56824
886	2637	56824
887	2639	56816
888	2642	56811
889	2645	56801
890	2647	56786
891	2650	56776
892	2652	56760
893	2655	56750
894	2657	56737
895	2660	56724
896	2663	56719
897	2665	56709
898	2668	56695
899	2671	56689
900	2674	56682
901	2676	56679
902	2680	56684
903	2683	56683
904	2686	56676
905	2689	56672
906	2691	56662
907	2694	56661
908	2697	56663
909	2700	56657
910	2703	56640
911	2705	56627
912	2708	56624
913	2711	56622
914	2714	56609
915	2716	56603
916	2719	56595
917	2722	56586
918	2725	56587
919	2728	56577
920	2730	56567
921	2733	56560
922	2736	56555
923	2739	56548
924	2741	56539
925	2744	56532
926	2747	56522
927	2749	56514
928	2752	56505
929	2754	56485
930	2756	56465
931	2758	56444
932	2761	56425
933	2763	56405
934	2765	56379
935	2767	56360
936	2768	56331
937	2770	56307
938	2772	56280
939	2774	56255
940	2776	56238
941	2778	56216
942	2780	56199
943	2783	56187
944	2785	56174
945	2788	56163
946	2790	56152
947	2793	56136
948	2795	56123
949	2798	56111
950	2800	56101
951	2803	56090
952	2805	56073
953	2808	56061
954	2810	56040
955	2812	56027
956	2815	56018
957	2818	56015
958	2820	56004
959	2823	55999
960	2825	55987
961	2828	55976
962	2831	55966
963	2833	55952
964	2836	55944
965	2838	55933
966	2841	55924
967	2844	55916
968	2846	55908
969	2849	55893
970	2851	55879
971	2854	55871
972	2856	55855
973	2860	55875
974	2863	55868
975	2865	55858
976	2868	55851
977	2871	55851
978	2873	55837
979	2876	55827
980	2879	55818
981	2881	55814
982	2884	55810
983	2887	55801
984	2890	55797
985	2893	55793
986	2895	55781
987	2899	55789
988	2901	55782
989	2904	55774
990	2907	55764
991	2909	55758
992	2912	55751
993	2915	55745
994	2917	55733
995	2920	55725
996	2923	55718
997	2926	55720
998	2928	55708
999	2931	55695
1000	2933	55686
1001	2936	55677
1002	2940	55694
1003	2942	55682
1004	2945	55671
1005	2948	55662
1006	2950	55658
1007	2954	55657
1008	2956	55643
1009	2959	55638
1010	2961	55630
1011	2964	55626
1012	2967	55629
1013	2970	55624
1014	2973	55613
1015	2975	55605
1016	2978	55601
1017	2981	55592
1018	2983	55582
1019	2986	55577
1020	2989	55572
1021	2992	55570
1022	2995	55569
1023	2998	55567
1024	3001	55571
1025	3004	55563
1026	3007	55557
1027	3010	55550
1028	3012	55541
1029	3015	55537
1030	3018	55532
1031	3020	55525
1032	3023	55514
